Date;Title;URL;Source;Type;Runtime;Year;Rated;Released;Genre;Director;Actors;Rating;IMDB ID;Series Title;Triage
7/21/16;Happy Valley: Series 1: "Episode 1";/title/80007018;Netflix;series;58;2014–;TV-MA;29 Apr 2014;Crime, Drama;N/A;Sarah Lancashire, Siobhan Finneran, Shane Zaza, Charlie Murphy;8.5;tt3428912;Happy Valley;false
7/20/16;Parks and Recreation: Season 4: "Meet 'n' Greet";/title/70210920;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/20/16;Parks and Recreation: Season 4: "Pawnee Rangers";/title/70210919;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/20/16;Parks and Recreation: Season 4: "Born & Raised";/title/70210918;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/20/16;Parks and Recreation: Season 4: "Ron and Tammys";/title/70210917;Netflix;series;22;2009–2015;TV-PG;09 Apr 2009;Comedy;N/A;Amy Poehler, Nick Offerman, Aubrey Plaza, Chris Pratt;8.6;tt1266020;Parks and Recreation;false
7/20/16;Mouk: Season 1: "Yummy, Maple Syrup! / Nile and Easy";/title/80062957;Netflix;series;N/A;2011–;N/A;19 Sep 2011;Animation;N/A;Tania Farchy, Rachel Williams, Lisa Jacobs, Gwenaelle Jegou;7.4;tt2129477;Mouk;false
7/19/16;Stranger Things: Season 1: "Chapter Four: The Body";/title/80077371;Netflix;series;55;2016–;TV-14;15 Jul 2016;Drama, Fantasy, Horror;N/A;Rob Morgan, Winona Ryder, David Harbour, Finn Wolfhard;9.0;tt4574334;Stranger Things;false
7/19/16;Stranger Things: Season 1: "Chapter Three: Holly, Jolly";/title/80077370;Netflix;series;55;2016–;TV-14;15 Jul 2016;Drama, Fantasy, Horror;N/A;Rob Morgan, Winona Ryder, David Harbour, Finn Wolfhard;9.0;tt4574334;Stranger Things;false
7/19/16;How I Met Your Mother: Season 5: "The Wedding Bride";/title/70218591;Netflix;series;22;2005–2014;TV-14;19 Sep 2005;Comedy, Romance;N/A;Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris;8.4;tt0460649;How I Met Your Mother;false
7/19/16;How I Met Your Mother: Season 5: "Robots Vs. Wrestlers";/title/70218590;Netflix;series;22;2005–2014;TV-14;19 Sep 2005;Comedy, Romance;N/A;Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris;8.4;tt0460649;How I Met Your Mother;false
7/19/16;How I Met Your Mother: Season 5: "Twin Beds";/title/70218589;Netflix;series;22;2005–2014;TV-14;19 Sep 2005;Comedy, Romance;N/A;Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris;8.4;tt0460649;How I Met Your Mother;false
